Incident_Type,date,time,ampm,Year,Data Type,Subject_Race,Subject_Sex,Subject_Ethnicity,Block Address,Incident Location District,Incident Location PSA,Age
Stop & Frisk,1/1/17,12:26:22,AM,2017,Person,White,Male,Not Hispanic Or Latino,1200 BLOCK OF 18TH STREET NW,2D,208,21
Stop & Frisk,1/1/17,2:38:28,AM,2017,Person,Unknown,Male,Not Hispanic Or Latino,4600 BLOCK OF G STREET SE,6D,607,Unknown
Stop & Frisk,1/1/17,2:38:28,AM,2017,Person,Black,Male,Not Hispanic Or Latino,4600 BLOCK OF G STREET SE,6D,607,Unknown
Stop & Frisk,1/1/17,4:04:30,AM,2017,Person,Black,Male,Not Hispanic Or Latino,1300 BLOCK OF WISCONSIN AVENUE NW,2D,206,26
Stop & Frisk,1/1/17,4:14:22,AM,2017,Person,White,Male,Not Hispanic Or Latino,1900 BLOCK OF 9 1/2 STREET NW,3D,305,37
Stop & Frisk,1/1/17,4:18:43,AM,2017,Person,Black,Female,Unknown,1800 BLOCK OF BELMONT ROAD NW,3D,303,46
Stop & Frisk,1/1/17,4:51:58,AM,2017,Person,Black,Male,Unknown,2000 BLOCK OF COLUMBIA ROAD NW,3D,303,21
Stop & Frisk,1/1/17,4:51:58,AM,2017,Person,Black,Male,Unknown,2000 BLOCK OF COLUMBIA ROAD NW,3D,303,Unknown
Stop & Frisk,1/1/17,5:50:23,AM,2017,Person,Black,Male,Unknown,1400 BLOCK OF I STREET NW,2D,207,26
Stop & Frisk,1/1/17,5:50:23,AM,2017,Person,Black,Male,Unknown,1400 BLOCK OF I STREET NW,2D,207,27
Stop & Frisk,1/1/17,7:00:26,AM,2017,Person,Black,Male,Unknown,700 BLOCK OF DECATUR STREET NE,4D,405,18
Stop & Frisk,1/1/17,7:33:46,AM,2017,Person,Black,Male,Unknown,300 BLOCK OF 53RD STREET NE,6D,608,18
Stop & Frisk,1/1/17,12:42:20,PM,2017,Person,Black,Male,Unknown,1600 BLOCK OF P STREET NW,2D,208,19
Stop & Frisk,1/1/17,12:42:20,PM,2017,Person,Black,Male,Unknown,1600 BLOCK OF P STREET NW,2D,208,20
Stop & Frisk,1/1/17,2:22:35,PM,2017,Person,Black,Female,Not Hispanic Or Latino,900 BLOCK OF EASTERN AVENUE NE,6D,608,26
Stop & Frisk,1/1/17,4:55:36,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1000 BLOCK OF BLADENSBURG ROAD NE,5D,506,29
Stop & Frisk,1/1/17,7:15:20,PM,2017,Person,Black,Male,Not Hispanic Or Latino,800 BLOCK OF BLADENSBURG ROAD NE,5D,506,21
Stop & Frisk,1/1/17,7:33:43,PM,2017,Person,White,Male,Hispanic Or Latino,2400 BLOCK OF 4TH STREET NE,5D,502,29
Stop & Frisk,1/1/17,7:39:57,PM,2017,Person,Black,Male,Unknown,1500 BLOCK OF INDEPENDENCE AVENUE SE,1D,108,35
Stop & Frisk,1/1/17,8:22:58,PM,2017,Person,Black,Male,Unknown,6100 BLOCK OF DIX STREET NE,6D,608,28
Stop & Frisk,1/1/17,8:32:12,PM,2017,Person,Black,Male,Not Hispanic Or Latino,2600 BLOCK OF BENNING ROAD NE,5D,507,18
Stop & Frisk,1/1/17,8:32:12,PM,2017,Person,Black,Male,Not Hispanic Or Latino,2600 BLOCK OF BENNING ROAD NE,5D,507,Juvenile
Stop & Frisk,1/1/17,9:59:20,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1300 BLOCK OF PERRY PLACE NW,4D,409,31
Stop & Frisk,1/2/17,2:17:52,AM,2017,Person,Black,Female,Unknown,1400 BLOCK OF SPRING ROAD NW,4D,409,51
Stop & Frisk,1/2/17,2:17:52,AM,2017,Person,Black,Male,Unknown,1400 BLOCK OF SPRING ROAD NW,4D,409,58
Stop & Frisk,1/2/17,8:06:23,AM,2017,Person,Black,Male,Unknown,1900 BLOCK OF BENNETT PLACE NE,5D,506,22
Stop & Frisk,1/2/17,8:06:23,AM,2017,Person,Black,Female,Not Hispanic Or Latino,1900 BLOCK OF BENNETT PLACE NE,5D,506,25
Stop & Frisk,1/2/17,8:06:23,AM,2017,Person,Black,Male,Not Hispanic Or Latino,1900 BLOCK OF BENNETT PLACE NE,5D,506,26
Stop & Frisk,1/2/17,12:53:34,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1200 BLOCK OF U STREET NW,3D,305,27
Stop & Frisk,1/2/17,7:53:42,PM,2017,Person,Black,Male,Not Hispanic Or Latino,2500 BLOCK OF BENNING ROAD NE,5D,507,23
Stop & Frisk,1/2/17,8:19:54,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1100 BLOCK OF SOUTH CAPITOL STREET SW,1D,105,24
Stop & Frisk,1/2/17,9:26:38,PM,2017,Person,Black,Male,Not Hispanic Or Latino,4000 BLOCK OF EAST CAPITOL STREET NE,6D,604,27
Stop & Frisk,1/2/17,9:26:38,PM,2017,Person,Black,Male,Not Hispanic Or Latino,4000 BLOCK OF EAST CAPITOL STREET NE,6D,604,27
Stop & Frisk,1/2/17,9:26:38,PM,2017,Person,Black,Male,Unknown,4000 BLOCK OF EAST CAPITOL STREET NE,6D,604,28
Stop & Frisk,1/3/17,10:40:08,AM,2017,Person,Black,Male,Unknown,1600 BLOCK OF E STREET NE,5D,507,36
Stop & Frisk,1/3/17,9:24:55,PM,2017,Person,Black,Male,Not Hispanic Or Latino,600 BLOCK OF F STREET NW,1D,102,20
Stop & Frisk,1/3/17,9:24:55,PM,2017,Person,Black,Male,Not Hispanic Or Latino,600 BLOCK OF F STREET NW,1D,102,Juvenile
Stop & Frisk,1/3/17,10:13:45,PM,2017,,,,,1100 BLOCK OF CONNECT,2D,202,
Stop & Frisk,1/4/17,6:49:20,AM,2017,Person,Black,Male,Unknown,2600 BLOCK OF WOODLEY ROAD NW,2D,204,44
Stop & Frisk,1/4/17,3:18:40,PM,2017,Person,Black,Male,Not Hispanic Or Latino,4600 BLOCK OF BENNING ROAD SE,6D,604,27
Stop & Frisk,1/4/17,9:33:28,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1400 BLOCK OF IRVING STREET NW,3D,302,28
Stop & Frisk,1/4/17,10:50:31,PM,2017,Person,Black,Male,Not Hispanic Or Latino,2300 BLOCK OF PENNSYLVANIA AVENUE SE,6D,606,Unknown
Stop & Frisk,1/5/17,1:24:16,AM,2017,Person,Black,Male,Unknown,3200 BLOCK OF 23RD STREET SE,7D,702,19
Stop & Frisk,1/5/17,1:24:16,AM,2017,Person,Black,Male,Not Hispanic Or Latino,3200 BLOCK OF 23RD STREET SE,7D,702,Juvenile
Stop & Frisk,1/5/17,1:24:16,AM,2017,Person,Black,Male,Not Hispanic Or Latino,3200 BLOCK OF 23RD STREET SE,7D,702,Juvenile
Stop & Frisk,1/5/17,2:24:34,AM,2017,Person,Black,Male,Unknown,700 BLOCK OF CONGRESS STREET SE,7D,705,37
Stop & Frisk,1/5/17,10:09:22,AM,2017,Person,Black,Female,Unknown,1300 BLOCK OF CONGRESS STREET SE,7D,705,41
Stop & Frisk,1/5/17,12:39:38,PM,2017,Person,Black,Male,Not Hispanic Or Latino,2700 BLOCK OF LANGSTON PLACE SE,7D,702,22
Stop & Frisk,1/5/17,2:11:56,PM,2017,Person,Black,Male,Unknown,3100 BLOCK OF 14TH STREET NW,3D,302,22
Stop & Frisk,1/5/17,2:11:56,PM,2017,Person,Black,Male,Unknown,3100 BLOCK OF 14TH STREET NW,3D,302,23
Stop & Frisk,1/5/17,6:05:53,PM,2017,Person,Unknown,Unknown,Unknown,1800 BLOCK OF OTIS STREET NE,5D,504,Unknown
Stop & Frisk,1/5/17,6:48:06,PM,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,19
Stop & Frisk,1/5/17,6:48:06,PM,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,19
Stop & Frisk,1/5/17,6:48:06,PM,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,20
Stop & Frisk,1/5/17,6:48:06,PM,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,Juvenile
Stop & Frisk,1/5/17,6:48:06,PM,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,Juvenile
Stop & Frisk,1/5/17,6:48:06,PM,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,Juvenile
Stop & Frisk,1/5/17,6:48:06,PM,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,Juvenile
Stop & Frisk,1/5/17,6:48:06,PM,2017,Person,Unknown,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,Juvenile
Stop & Frisk,1/5/17,6:48:06,PM,2017,Person,White,Male,Hispanic Or Latino,3300 BLOCK OF GEORGIA AVENUE NW,3D,302,Unknown
Stop & Frisk,1/5/17,7:35:37,PM,2017,Person,Black,Male,Not Hispanic Or Latino,2300 BLOCK OF 16TH STREET SE,7D,701,18
Stop & Frisk,1/5/17,7:48:25,PM,2017,Person,Black,Male,Not Hispanic Or Latino,3400 BLOCK OF WHEELER ROAD SE,7D,705,Juvenile
Stop & Frisk,1/5/17,8:05:01,PM,2017,Person,Black,Male,Unknown,2500 BLOCK OF BENNING ROAD NE,5D,507,34
Stop & Frisk,1/5/17,9:28:06,PM,2017,Person,White,Male,Hispanic Or Latino,3200 BLOCK OF GEORGIA AVENUE NW,3D,302,28
Stop & Frisk,1/5/17,9:28:06,PM,2017,Person,White,Male,Hispanic Or Latino,3200 BLOCK OF GEORGIA AVENUE NW,3D,302,35
Stop & Frisk,1/5/17,9:28:06,PM,2017,Person,White,Male,Hispanic Or Latino,3200 BLOCK OF GEORGIA AVENUE NW,3D,302,40
Stop & Frisk,1/5/17,9:28:06,PM,2017,Person,Unknown,Male,Hispanic Or Latino,3200 BLOCK OF GEORGIA AVENUE NW,3D,302,40
Stop & Frisk,1/5/17,9:28:06,PM,2017,Person,White,Male,Hispanic Or Latino,3200 BLOCK OF GEORGIA AVENUE NW,3D,302,49
Stop & Frisk,1/5/17,9:28:06,PM,2017,Person,White,Male,Hispanic Or Latino,3200 BLOCK OF GEORGIA AVENUE NW,3D,302,Unknown
Stop & Frisk,1/5/17,9:49:45,PM,2017,Person,Unknown,Male,Unknown,3700 BLOCK OF S STREET NW,2D,206,55
Stop & Frisk,1/5/17,10:59:05,PM,2017,Person,Black,Male,Unknown,1100 BLOCK OF EASTERN AVENUE NE,6D,608,23
Stop & Frisk,1/5/17,10:59:05,PM,2017,Person,Black,Male,Unknown,1100 BLOCK OF EASTERN AVENUE NE,6D,608,24
Stop & Frisk,1/5/17,10:59:05,PM,2017,Person,Unknown,Male,Unknown,1100 BLOCK OF EASTERN AVENUE NE,6D,608,29
Stop & Frisk,1/5/17,11:46:04,PM,2017,Person,Black,Male,Unknown,600 BLOCK OF 7TH STREET NW,1D,102,20
Stop & Frisk,1/5/17,11:46:04,PM,2017,Person,Black,Male,Unknown,600 BLOCK OF 7TH STREET NW,1D,102,38
Stop & Frisk,1/6/17,12:41:49,AM,2017,Person,White,Male,Hispanic Or Latino,3000 BLOCK OF 14TH STREET NW,3D,302,19
Stop & Frisk,1/6/17,12:41:49,AM,2017,Person,White,Male,Hispanic Or Latino,3000 BLOCK OF 14TH STREET NW,3D,302,19
Stop & Frisk,1/6/17,12:41:49,AM,2017,Person,White,Male,Hispanic Or Latino,3000 BLOCK OF 14TH STREET NW,3D,302,Juvenile
Stop & Frisk,1/6/17,12:41:49,AM,2017,Person,Unknown,Male,Hispanic Or Latino,3000 BLOCK OF 14TH STREET NW,3D,302,Juvenile
Stop & Frisk,1/6/17,1:36:35,AM,2017,Person,Black,Male,Unknown,UNIT BLOCK OF HAWAII AVENUE NE,4D,405,41
Stop & Frisk,1/6/17,2:24:26,AM,2017,Person,Black,Male,Not Hispanic Or Latino,3000 BLOCK OF 24TH PLACE SE,7D,702,31
Stop & Frisk,1/6/17,6:14:40,PM,2017,Person,Black,Male,Not Hispanic Or Latino,3500 BLOCK OF GEORGIA AVENUE NW,4D,409,37
Stop & Frisk,1/6/17,7:02:07,PM,2017,Person,Black,Male,Not Hispanic Or Latino,600 BLOCK OF K STREET NW,1D,102,18
Stop & Frisk,1/6/17,9:33:12,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1100 BLOCK OF 34TH STREET NW,2D,206,19
Stop & Frisk,1/7/17,6:22:45,AM,2017,Person,Black,Female,Not Hispanic Or Latino,2200 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,701,24
Stop & Frisk,1/7/17,6:34:00,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1400 BLOCK OF NORTH CAPITOL STREET NW,5D,501,20
Stop & Frisk,1/7/17,6:34:00,PM,2017,Person,Black,Male,Unknown,1400 BLOCK OF NORTH CAPITOL STREET NW,5D,501,43
Stop & Frisk,1/7/17,9:32:12,PM,2017,Person,Black,Male,Not Hispanic Or Latino,5100 BLOCK OF FITCH STREET SE,6D,604,23
Stop & Frisk,1/7/17,9:58:25,PM,2017,Person,Unknown,Unknown,Unknown,2600 BLOCK OF FIRTH STERLING AVENUE SE,7D,703,Unknown
Stop & Frisk,1/8/17,10:43:55,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1700 BLOCK OF HOLBROOK STREET NE,5D,506,48
Stop & Frisk,1/9/17,12:44:37,AM,2017,Person,Black,Male,Unknown,5100 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,6D,602,Unknown
Stop & Frisk,1/9/17,9:20:30,PM,2017,Person,Black,Male,Not Hispanic Or Latino,2400 BLOCK OF PENNSYLVANIA AVENUE NW,2D,206,24
Stop & Frisk,1/9/17,9:20:30,PM,2017,Person,Black,Male,Not Hispanic Or Latino,2400 BLOCK OF PENNSYLVANIA AVENUE NW,2D,206,26
Stop & Frisk,1/10/17,2:10:56,AM,2017,Person,Black,Male,Not Hispanic Or Latino,2400 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,705,21
Stop & Frisk,1/10/17,9:47:40,AM,2017,Person,Black,Male,Not Hispanic Or Latino,300 BLOCK OF BRYANT STREET NW,3D,306,Juvenile
Stop & Frisk,1/10/17,3:55:16,PM,2017,Person,Black,Male,Unknown,5000 BLOCK OF CENTRAL AVENUE SE,6D,604,20
Stop & Frisk,1/10/17,3:55:16,PM,2017,Person,Black,Male,Unknown,5000 BLOCK OF CENTRAL AVENUE SE,6D,604,Juvenile
Stop & Frisk,1/10/17,6:35:13,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1000 BLOCK OF 4TH STREET NW,1D,102,Juvenile
Stop & Frisk,1/10/17,8:04:57,PM,2017,Person,Black,Male,Not Hispanic Or Latino,2100 BLOCK OF ALABAMA AVENUE SE,7D,704,27
Stop & Frisk,1/11/17,5:02:56,AM,2017,Person,Black,Male,Not Hispanic Or Latino,900 BLOCK OF EASTERN AVENUE NE,6D,601,30
Stop & Frisk,1/11/17,10:58:15,AM,2017,Person,White,Male,Hispanic Or Latino,4300 BLOCK OF 13TH STREET NW,4D,404,18
Stop & Frisk,1/11/17,10:58:15,AM,2017,Person,White,Male,Hispanic Or Latino,4300 BLOCK OF 13TH STREET NW,4D,404,19
Stop & Frisk,1/11/17,10:58:15,AM,2017,Person,White,Male,Hispanic Or Latino,4300 BLOCK OF 13TH STREET NW,4D,404,Unknown
Stop & Frisk,1/11/17,3:04:49,PM,2017,Person,Black,Female,Not Hispanic Or Latino,3100 BLOCK OF PENNSYLVANIA AVENUE SE,6D,605,26
Stop & Frisk,1/11/17,3:04:49,PM,2017,Person,Black,Female,Unknown,3100 BLOCK OF PENNSYLVANIA AVENUE SE,6D,605,35
Stop & Frisk,1/11/17,7:17:24,PM,2017,Person,Black,Male,Not Hispanic Or Latino,4100 BLOCK OF MINNESOTA AVENUE NE,6D,604,18
Stop & Frisk,1/11/17,8:26:32,PM,2017,Person,Black,Male,Unknown,600 BLOCK OF F STREET NW,1D,102,40
Stop & Frisk,1/11/17,8:26:32,PM,2017,Person,Black,Male,Unknown,600 BLOCK OF F STREET NW,1D,102,41
Stop & Frisk,1/11/17,9:38:42,PM,2017,Person,Black,Female,Not Hispanic Or Latino,900 BLOCK OF PERRY PLACE NE,4D,405,23
Stop & Frisk,1/12/17,2:18:47,PM,2017,Person,Black,Female,Not Hispanic Or Latino,2400 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,703,33
Stop & Frisk,1/12/17,4:11:06,PM,2017,Person,Black,Male,Unknown,1500 BLOCK OF SOUTH CAPITOL STREET SE,1D,106,42
Stop & Frisk,1/12/17,4:50:31,PM,2017,Person,Unknown,Male,Unknown,400 BLOCK OF SOUTHERN AVENUE SE,7D,708,31
Stop & Frisk,1/12/17,4:50:31,PM,2017,Person,Black,Male,Not Hispanic Or Latino,400 BLOCK OF SOUTHERN AVENUE SE,7D,708,Juvenile
Stop & Frisk,1/12/17,6:09:20,PM,2017,Person,Black,Male,Not Hispanic Or Latino,600 BLOCK OF PENNSYLVANIA AVENUE SE,1D,107,33
Stop & Frisk,1/12/17,7:16:43,PM,2017,Person,Unknown,Unknown,Unknown,300 BLOCK OF 40TH STREET NE,6D,603,Unknown
Stop & Frisk,1/12/17,8:23:39,PM,2017,Person,Black,Male,Not Hispanic Or Latino,2500 BLOCK OF 14TH STREET NE,5D,505,41
Stop & Frisk,1/12/17,8:28:11,PM,2017,Person,White,Male,Unknown,800 BLOCK OF BLADENSBURG ROAD NE,5D,506,48
Stop & Frisk,1/12/17,9:33:29,PM,2017,Person,Black,Male,Unknown,1600 BLOCK OF MONTANA AVENUE NE,5D,505,Unknown
Stop & Frisk,1/12/17,9:56:14,PM,2017,Person,Black,Male,Not Hispanic Or Latino,3000 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,705,Juvenile
Stop & Frisk,1/13/17,1:16:59,AM,2017,Person,Black,Male,Unknown,3500 BLOCK OF 14TH STREET NW,4D,409,56
Stop & Frisk,1/13/17,1:36:41,AM,2017,Person,White,Male,Unknown,2300 BLOCK OF Q STREET SE,6D,605,50
Stop & Frisk,1/13/17,2:13:13,AM,2017,Person,Black,Male,Not Hispanic Or Latino,1500 BLOCK OF W STREET SE,7D,707,24
Stop & Frisk,1/13/17,2:40:14,AM,2017,Person,Unknown,Male,Not Hispanic Or Latino,1200 BLOCK OF CONNECTICUT AVENUE NW,2D,208,21
Stop & Frisk,1/13/17,4:03:18,AM,2017,Person,Unknown,Unknown,Unknown,4200 BLOCK OF 4TH STREET SE,7D,706,Unknown
Stop & Frisk,1/13/17,6:41:51,AM,2017,Person,Black,Male,Unknown,4000 BLOCK OF 7TH STREET NE,4D,406,40
Stop & Frisk,1/13/17,7:35:59,PM,2017,Person,Black,Male,Unknown,5300 BLOCK OF BASS PLACE SE,6D,604,26
Stop & Frisk,1/13/17,8:22:19,PM,2017,Person,Black,Male,Not Hispanic Or Latino,3800 BLOCK OF ALABAMA AVENUE SE,6D,605,36
Stop & Frisk,1/13/17,9:30:41,PM,2017,Person,Black,Male,Unknown,2300 BLOCK OF GREEN STREET SE,7D,701,Juvenile
Stop & Frisk,1/13/17,9:31:27,PM,2017,Person,Black,Male,Not Hispanic Or Latino,500 BLOCK OF 12TH STREET NW,1D,101,47
Stop & Frisk,1/13/17,10:02:08,PM,2017,Person,Black,Male,Unknown,1200 BLOCK OF 16TH STREET NE,5D,506,33
Stop & Frisk,1/13/17,10:12:59,PM,2017,Person,Asian,Male,Not Hispanic Or Latino,2300 BLOCK OF 18TH STREET NW,3D,303,63
Stop & Frisk,1/13/17,10:15:42,PM,2017,Person,Black,Male,Unknown,5100 BLOCK OF LEE STREET NE,6D,602,52
Stop & Frisk,1/13/17,10:51:23,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1400 BLOCK OF SAVANNAH STREET SE,7D,705,19
Stop & Frisk,1/13/17,10:51:23,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1400 BLOCK OF SAVANNAH STREET SE,7D,705,20
Stop & Frisk,1/14/17,2:31:22,AM,2017,Person,Native Hawaiian Or Other Pacific Islander,Male,Hispanic Or Latino,800 BLOCK OF 14TH STREET NW,1D,101,23
Stop & Frisk,1/14/17,5:20:37,AM,2017,Person,Black,Male,Not Hispanic Or Latino,1300 BLOCK OF L STREET NW,3D,307,30
Stop & Frisk,1/14/17,6:20:03,AM,2017,Person,Black,Male,Not Hispanic Or Latino,5100 BLOCK OF SARGENT ROAD NE,4D,405,51
Stop & Frisk,1/14/17,11:50:46,AM,2017,,,,,600 BLOCK OF ROCK CREEK CHURCH ROAD NW,4D,409,
Stop & Frisk,1/14/17,2:05:35,PM,2017,,,,,2400 BLOCK OF ALABAMA AVENUE SE,7D,702,
Stop & Frisk,1/14/17,3:02:50,PM,2017,Person,Black,Male,Not Hispanic Or Latino,3400 BLOCK OF STANTON ROAD SE,7D,704,23
Stop & Frisk,1/15/17,12:20:50,AM,2017,Person,Black,Male,Unknown,1500 BLOCK OF ISHERWOOD STREET NE,5D,507,31
Stop & Frisk,1/15/17,3:55:22,AM,2017,Person,White,Male,Hispanic Or Latino,1200 BLOCK OF CONNECTICUT AVENUE NW,2D,208,22
Stop & Frisk,1/15/17,3:55:22,AM,2017,Person,Unknown,Male,Not Hispanic Or Latino,1200 BLOCK OF CONNECTICUT AVENUE NW,2D,208,27
Stop & Frisk,1/15/17,4:14:03,AM,2017,Person,Black,Male,Not Hispanic Or Latino,3900 BLOCK OF ARGYLE TERRACE NW,4D,404,28
Stop & Frisk,1/15/17,5:38:07,AM,2017,Person,Black,Male,Not Hispanic Or Latino,1900 BLOCK OF 11TH STREET NW,3D,305,23
Stop & Frisk,1/15/17,6:19:13,AM,2017,Person,Black,Male,Not Hispanic Or Latino,1700 BLOCK OF WEST VIRGINIA AVENUE NE,5D,505,24
Stop & Frisk,1/15/17,7:50:30,AM,2017,Person,White,Male,Not Hispanic Or Latino,1500 BLOCK OF WISCONSIN AVENUE NW,2D,206,21
Stop & Frisk,1/15/17,7:50:30,AM,2017,Person,Black,Male,Not Hispanic Or Latino,1500 BLOCK OF WISCONSIN AVENUE NW,2D,206,22
Stop & Frisk,1/15/17,7:50:30,AM,2017,Person,Black,Male,Unknown,1500 BLOCK OF WISCONSIN AVENUE NW,2D,206,22
Stop & Frisk,1/15/17,7:50:30,AM,2017,Person,Black,Male,Not Hispanic Or Latino,1500 BLOCK OF WISCONSIN AVENUE NW,2D,206,22
Stop & Frisk,1/15/17,7:50:30,AM,2017,Person,Black,Male,Not Hispanic Or Latino,1500 BLOCK OF WISCONSIN AVENUE NW,2D,206,23
Stop & Frisk,1/15/17,8:20:56,AM,2017,Person,Black,Male,Not Hispanic Or Latino,3000 BLOCK OF 14TH STREET NW,3D,302,25
Stop & Frisk,1/15/17,9:55:21,AM,2017,Person,Black,Male,Not Hispanic Or Latino,900 BLOCK OF HAMILTON STREET NW,4D,403,29
Stop & Frisk,1/15/17,9:55:21,AM,2017,Person,Black,Female,Not Hispanic Or Latino,900 BLOCK OF HAMILTON STREET NW,4D,403,56
Stop & Frisk,1/15/17,3:02:56,PM,2017,Person,Black,Female,Unknown,2400 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,703,37
Stop & Frisk,1/15/17,3:02:56,PM,2017,Person,Black,Female,Not Hispanic Or Latino,2400 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7D,703,38
Stop & Frisk,1/15/17,5:11:44,PM,2017,Person,Black,Male,Not Hispanic Or Latino,UNIT BLOCK OF BURNS STREET NE,6D,604,33
Stop & Frisk,1/15/17,5:13:39,PM,2017,Person,White,Male,Not Hispanic Or Latino,3100 BLOCK OF SOUTH STREET NW,2D,206,45
Stop & Frisk,1/15/17,7:23:40,PM,2017,Person,Black,Male,Not Hispanic Or Latino,700 BLOCK OF 7TH STREET NW,1D,102,60
Stop & Frisk,1/15/17,10:36:48,PM,2017,Person,Black,Male,Not Hispanic Or Latino,2900 BLOCK OF 14TH STREET NW,3D,302,36
Stop & Frisk,1/15/17,10:48:46,PM,2017,Person,Black,Male,Unknown,5200 BLOCK OF BANKS PLACE NE,6D,608,24
Stop & Frisk,1/15/17,10:48:46,PM,2017,Person,Black,Male,Not Hispanic Or Latino,5200 BLOCK OF BANKS PLACE NE,6D,608,29
Stop & Frisk,1/15/17,10:48:46,PM,2017,Person,Black,Male,Unknown,5200 BLOCK OF BANKS PLACE NE,6D,608,48
Stop & Frisk,1/15/17,10:54:29,PM,2017,Person,Black,Male,Unknown,2800 BLOCK OF 28TH STREET SE,7D,702,32
Stop & Frisk,1/16/17,4:08:25,AM,2017,Person,Black,Male,Not Hispanic Or Latino,2400 BLOCK OF 18TH STREET NW,3D,303,27
Stop & Frisk,1/16/17,5:15:30,AM,2017,Person,Black,Female,Unknown,100 BLOCK OF NEW YORK AVENUE NW,5D,506,25
Stop & Frisk,1/16/17,5:15:30,AM,2017,Person,Black,Female,Unknown,100 BLOCK OF NEW YORK AVENUE NW,5D,506,25
Stop & Frisk,1/16/17,5:15:30,AM,2017,Person,Black,Male,Unknown,100 BLOCK OF NEW YORK AVENUE NW,5D,506,28
Stop & Frisk,1/16/17,8:09:58,AM,2017,,,,,7800 BLOCK OF BLAIR ROAD NW,4D,401,
Stop & Frisk,1/16/17,8:26:53,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1600 BLOCK OF GOOD HOPE ROAD SE,7D,702,56
Stop & Frisk,1/17/17,6:23:20,AM,2017,Person,Black,Male,Not Hispanic Or Latino,3800 BLOCK OF 9TH STREET SE,7D,708,18
Stop & Frisk,1/17/17,6:23:20,AM,2017,Person,Black,Male,Not Hispanic Or Latino,3800 BLOCK OF 9TH STREET SE,7D,708,22
Stop & Frisk,1/17/17,10:02:47,AM,2017,Person,Unknown,Male,Hispanic Or Latino,4200 BLOCK OF KANSAS AVENUE NW,4D,404,18
Stop & Frisk,1/17/17,10:02:47,AM,2017,Person,White,Male,Hispanic Or Latino,4200 BLOCK OF KANSAS AVENUE NW,4D,404,18
Stop & Frisk,1/17/17,10:02:47,AM,2017,Person,Unknown,Male,Hispanic Or Latino,4200 BLOCK OF KANSAS AVENUE NW,4D,404,18
Stop & Frisk,1/17/17,10:02:47,AM,2017,Person,Unknown,Female,Hispanic Or Latino,4200 BLOCK OF KANSAS AVENUE NW,4D,404,Juvenile
Stop & Frisk,1/17/17,10:44:23,PM,2017,Person,White,Male,Unknown,1700 BLOCK OF COLUMBIA ROAD NW,3D,303,65
Stop & Frisk,1/17/17,11:20:22,PM,2017,Person,Black,Male,Not Hispanic Or Latino,3700 BLOCK OF MINNESOTA AVENUE NE,6D,603,25
Stop & Frisk,1/18/17,10:34:58,AM,2017,Person,Black,Male,Not Hispanic Or Latino,2400 BLOCK OF ALABAMA AVENUE SE,7D,703,26
Stop & Frisk,1/18/17,1:33:28,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1400 BLOCK OF IRVING STREET NW,4D,408,23
Stop & Frisk,1/18/17,1:33:28,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1400 BLOCK OF IRVING STREET NW,4D,408,25
Stop & Frisk,1/18/17,1:36:05,PM,2017,Person,Black,Male,Unknown,1100 BLOCK OF QUEEN STREET NE,5D,506,Juvenile
Stop & Frisk,1/18/17,1:52:26,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1500 BLOCK OF U STREET NW,3D,301,19
Stop & Frisk,1/18/17,1:52:26,PM,2017,Person,Black,Male,Not Hispanic Or Latino,1500 BLOCK OF U STREET NW,3D,301,22
