CensusTract,long,lat
11001003400,-77.01726629101556,38.92801579236496
11001003400,-77.01716728972885,38.92791379229629
11001003400,-77.01706629068394,38.92781479220235
11001003400,-77.01701329035699,38.92776479252464
11001003400,-77.01691429042872,38.92768679207628
11001003400,-77.01630406515422,38.92727741936187
11001003400,-77.01609028956017,38.927152791923326
11001003400,-77.01516829014425,38.9266197924009
11001003400,-77.01507629008462,38.92657079174579
11001003400,-77.0149802897312,38.92652479242623
11001003400,-77.01488228966042,38.926483791771815
11001003400,-77.01447628960305,38.92635279259696
11001003400,-77.01442428949467,38.92634079150407
11001003400,-77.01426628907547,38.926311791734044
11001003400,-77.01416728938982,38.92629679198167
11001003400,-77.0140302889005,38.92628179164721
11001003400,-77.01389128875944,38.92627279205507
11001003400,-77.01384528925497,38.92627179196109
11001003400,-77.01267328945433,38.926274792411924
11001003400,-77.01251928934049,38.92627779189217
11001003400,-77.01246828962093,38.9262797915614
11001003400,-77.01241628856432,38.92628079195464
11001003400,-77.01214428947662,38.926289791698466
11001003400,-77.01214328825863,38.92580279202859
11001003400,-77.01214628849681,38.924700791697006
11001003400,-77.01214628885123,38.924169791762836
11001003400,-77.01214828953849,38.9236317909763
11001003400,-77.01214828853597,38.92338479124108
11001003400,-77.01214728861791,38.92307879102812
11001003400,-77.0121492886777,38.92254579087781
11001003400,-77.01214828862696,38.922382790999414
11001003400,-77.01214828832873,38.9220087912907
11001003400,-77.01215028840407,38.92148879117343
11001003400,-77.01215028813235,38.9213137909437
11001003400,-77.01225928897664,38.92131479130525
11001003400,-77.01264428848783,38.921313790888654
11001003400,-77.01267628843543,38.92131179095117
11001003400,-77.01270828910988,38.92130579130836
11001003400,-77.01273828922422,38.92129679097654
11001003400,-77.01288428891307,38.92122379120416
11001003400,-77.0129762888684,38.92117979168011
11001003400,-77.01307028836975,38.92113779114487
11001003400,-77.01321428834918,38.92107779132179
11001003400,-77.01328328861563,38.921051791099714
11001003400,-77.01342428902898,38.92100179116265
11001003400,-77.01356728929382,38.92095579108249
11001003400,-77.01363928973062,38.92093379112394
11001003400,-77.01378528889575,38.92089279061031
11001003400,-77.01393128939534,38.92085579073663
11001003400,-77.01407028963145,38.92082379114452
11001003400,-77.01428028877396,38.920780791446894
11001003400,-77.01442028956188,38.92075479142406
11001003400,-77.01456128885555,38.92073079095738
11001003400,-77.01463228993383,38.92071979080315
11001003400,-77.01493729007554,38.92067579101344
11001003400,-77.01492828933229,38.92062579032143
11001003400,-77.01487528926978,38.920236790501505
11001003400,-77.01480428999264,38.9196707910899
11001003400,-77.01475128936704,38.91918179081241
11001003400,-77.01474328843732,38.91910679072694
11001003400,-77.01469228942324,38.91867079062786
11001003400,-77.01463828966835,38.91819079021985
11001003400,-77.01462728922989,38.91811479000074
11001003400,-77.01462128937894,38.91806878971065
11001003400,-77.01461728966113,38.91803079081961
11001003400,-77.01458028892417,38.91772978994074
11001003400,-77.0145772897601,38.91769978975629
11001003400,-77.01457328877396,38.917644789887696
11001003400,-77.0145682885092,38.91758779029333
11001003400,-77.01450328941624,38.917002789974674
11001003400,-77.01442228962358,38.9162867900931
11001003400,-77.01441628835317,38.916228789550466
11001003400,-77.01438428965747,38.91597179022755
11001003400,-77.01437628886892,38.91589378973424
11001003400,-77.01434228862941,38.91557679005269
11001003400,-77.014334288485,38.91549079014928
11001003400,-77.01431228922146,38.91531778945738
11001003400,-77.01429328856152,38.9151797897141
11001003400,-77.01427328929569,38.914995789582186
11001003400,-77.01424628864685,38.91475278963332
11001003400,-77.01419328843274,38.91431878962538
11001003400,-77.0141692886936,38.91409178976026
11001003400,-77.01408728911916,38.91335178948251
11001003400,-77.01405428870336,38.91307478928977
11001003400,-77.01405228863943,38.913047789286026
11001003400,-77.01405428814988,38.91302078936406
11001003400,-77.01406128892457,38.912993789966094
11001003400,-77.01407228801953,38.91296778944873
11001003400,-77.01408728903442,38.91294278949935
11001003400,-77.01421028832564,38.912996789731366
11001003400,-77.01455128874196,38.91314078884654
11001003400,-77.01518028889369,38.91340978901506
11001003400,-77.0157082892696,38.91363478973533
11001003400,-77.01585928876052,38.91370078975645
11001003400,-77.01609828890048,38.91380278888308
11001003400,-77.01622528914884,38.91385578932412
11001003400,-77.01636128955602,38.91391078934358
