CensusTract,State,County,TotalPop,Men,Women,Latinx,White,Black,Native,Asian,Pacific,Unknown,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,Employed,Unemployment
11001006900,District of Columbia,District of Columbia,2181,1006,1175,92,1505,521,0,44,0,19,1823,108571,21055,71766,6275,85,1557,35
11001007e3,District of Columbia,District of Columbia,2794,1582,1212,310,1847,372,0,31,0,234,2385,112096,8061,66547,10009,145,1476,98
11001007100,District of Columbia,District of Columbia,3064,1435,1629,58,1161,1710,0,40,0,95,2300,72904,19752,42733,7692,766,1362,429
11001007200,District of Columbia,District of Columbia,4584,2480,2104,211,2998,1031,9,188,0,147,4124,106897,14030,63970,7990,559,3051,275
11001007301,District of Columbia,District of Columbia,4002,2249,1753,372,2441,904,0,56,0,229,2564,75625,11531,28639,3705,108,849,36
11001007304,District of Columbia,District of Columbia,3514,1223,2291,60,123,3279,0,0,0,52,2629,29542,10359,17347,2584,1427,1034,826
11001007401,District of Columbia,District of Columbia,2453,1035,1418,44,5,2394,0,10,0,0,1564,15205,2340,9501,1587,1491,574,542
11001007403,District of Columbia,District of Columbia,3500,1627,1873,98,42,3360,0,0,0,0,2215,31399,2491,13191,2016,1110,1143,735
11001007404,District of Columbia,District of Columbia,3795,1425,2370,8,27,3727,15,0,0,18,2243,28569,5543,16071,4680,1533,961,1051
11001007406,District of Columbia,District of Columbia,3061,1366,1695,18,0,2997,0,0,12,34,1934,37344,13074,13077,2168,915,1151,251
11001007407,District of Columbia,District of Columbia,2734,1233,1501,0,22,2663,0,0,0,49,1958,34531,9782,21111,4343,689,1037,454
11001007408,District of Columbia,District of Columbia,3548,1805,1743,50,28,3307,0,0,0,163,2436,22353,4557,11340,2219,1845,821,823
11001007409,District of Columbia,District of Columbia,3802,1496,2306,0,27,3730,0,46,0,-1,2627,33990,6320,16408,2491,1437,1233,753
11001007502,District of Columbia,District of Columbia,5361,2088,3273,11,54,5275,0,0,0,21,3774,26422,9110,18210,6742,2798,1353,1437
11001007503,District of Columbia,District of Columbia,2694,1261,1433,16,38,2619,0,5,0,16,1597,26125,8083,14185,2054,1269,804,463
11001007504,District of Columbia,District of Columbia,2780,1202,1578,0,14,2766,0,0,0,0,1846,17159,2948,15411,4123,1340,777,539
11001007601,District of Columbia,District of Columbia,4182,1926,2256,88,92,3956,25,0,17,4,3317,35438,7428,25917,4277,1004,1747,719
11001007603,District of Columbia,District of Columbia,3950,1960,1990,367,245,3271,0,67,0,0,3368,48847,9463,37890,6424,818,1993,273
11001007604,District of Columbia,District of Columbia,3766,1938,1828,60,139,3468,64,0,0,35,3091,53462,8932,32246,4277,678,1795,546
11001007605,District of Columbia,District of Columbia,3609,1510,2099,11,72,3219,32,162,0,113,2835,34761,9132,22948,2887,1039,1615,520
11001007703,District of Columbia,District of Columbia,5267,2081,3186,37,0,5209,0,16,0,5,3587,25588,4910,16309,4972,2460,1550,1275
11001007707,District of Columbia,District of Columbia,4423,2044,2379,71,0,4330,0,0,0,22,3179,49012,15267,20301,3235,1243,1511,858
11001007708,District of Columbia,District of Columbia,3070,1145,1925,0,0,3070,0,0,0,0,2306,28438,8779,16794,2701,964,859,1084
11001007709,District of Columbia,District of Columbia,2165,1061,1104,110,19,1961,0,0,0,75,1739,33372,5550,20962,2904,624,836,554
11001007803,District of Columbia,District of Columbia,3473,1795,1678,389,38,2959,42,3,0,42,2637,38074,10073,22943,3789,736,1553,632
11001007804,District of Columbia,District of Columbia,3214,1255,1959,125,16,3018,0,6,0,49,2341,39732,11674,19639,3301,932,1065,421
11001007806,District of Columbia,District of Columbia,2080,1002,1078,8,56,1991,12,0,0,13,1508,29638,7914,20595,4007,549,743,399
