neighborhood,long,lat
Congress Heights; Bellevue; Washington Highlands,-77.00684783182876,38.83986078147981
Congress Heights; Bellevue; Washington Highlands,-77.00688965044023,38.83992825120016
Congress Heights; Bellevue; Washington Highlands,-77.00685245848341,38.840061399439556
Congress Heights; Bellevue; Washington Highlands,-77.0067144995765,38.84041138581349
Congress Heights; Bellevue; Washington Highlands,-77.00655798838025,38.84071236594858
Congress Heights; Bellevue; Washington Highlands,-77.00627286373594,38.841188843091544
Congress Heights; Bellevue; Washington Highlands,-77.0061840304911,38.84129316231041
Congress Heights; Bellevue; Washington Highlands,-77.00608519632529,38.84128487860609
Congress Heights; Bellevue; Washington Highlands,-77.00538472439939,38.84219829100391
Congress Heights; Bellevue; Washington Highlands,-77.0050689971827,38.84263047195919
Congress Heights; Bellevue; Washington Highlands,-77.00468806066075,38.84309526637516
Congress Heights; Bellevue; Washington Highlands,-77.00445949527445,38.84333362421703
Congress Heights; Bellevue; Washington Highlands,-77.00416997160379,38.8435362315227
Congress Heights; Bellevue; Washington Highlands,-77.00372805503918,38.843726927149845
Congress Heights; Bellevue; Washington Highlands,-77.00317946350468,38.843893787704765
Congress Heights; Bellevue; Washington Highlands,-77.0026505286883,38.84391619704663
Congress Heights; Bellevue; Washington Highlands,-77.00202538889374,38.84395097992949
Congress Heights; Bellevue; Washington Highlands,-77.00205396629278,38.84429546466303
Congress Heights; Bellevue; Washington Highlands,-77.00203462458911,38.84466535065407
Congress Heights; Bellevue; Washington Highlands,-77.00204707634038,38.84509703512323
Congress Heights; Bellevue; Washington Highlands,-77.00329703870575,38.84509574418078
Congress Heights; Bellevue; Washington Highlands,-77.00329888844922,38.845208440897295
Congress Heights; Bellevue; Washington Highlands,-77.00330234414645,38.84526834695565
Congress Heights; Bellevue; Washington Highlands,-77.00332941983761,38.84534897063771
Congress Heights; Bellevue; Washington Highlands,-77.00338229861077,38.84542121796612
Congress Heights; Bellevue; Washington Highlands,-77.00345729264875,38.845480312288
Congress Heights; Bellevue; Washington Highlands,-77.00359990262663,38.84553570878011
Congress Heights; Bellevue; Washington Highlands,-77.00419297680205,38.845621820959096
Congress Heights; Bellevue; Washington Highlands,-77.00465382225235,38.8456845810818
Congress Heights; Bellevue; Washington Highlands,-77.00482834744298,38.84572943604088
Congress Heights; Bellevue; Washington Highlands,-77.00498870138064,38.84579942490348
Congress Heights; Bellevue; Washington Highlands,-77.00512912859621,38.845891935531654
Congress Heights; Bellevue; Washington Highlands,-77.00523373442783,38.84599715063296
Congress Heights; Bellevue; Washington Highlands,-77.00533004724693,38.84615046997873
Congress Heights; Bellevue; Washington Highlands,-77.00538305232675,38.84631622064632
Congress Heights; Bellevue; Washington Highlands,-77.00540096796367,38.846467024530114
Congress Heights; Bellevue; Washington Highlands,-77.00545082928353,38.846886813377175
Congress Heights; Bellevue; Washington Highlands,-77.0055091699384,38.84738457433937
Congress Heights; Bellevue; Washington Highlands,-77.00559065752599,38.8481029452031
Congress Heights; Bellevue; Washington Highlands,-77.0056745768684,38.84879578138636
Congress Heights; Bellevue; Washington Highlands,-77.00570324157081,38.84905110730551
Congress Heights; Bellevue; Washington Highlands,-77.00569984361326,38.84927286595705
Congress Heights; Bellevue; Washington Highlands,-77.00564836918603,38.84952537611529
Congress Heights; Bellevue; Washington Highlands,-77.00559032272417,38.8496928446491
Congress Heights; Bellevue; Washington Highlands,-77.00552996233782,38.849791760173495
Congress Heights; Bellevue; Washington Highlands,-77.00544852356624,38.849880857454
Congress Heights; Bellevue; Washington Highlands,-77.00529243432564,38.84999049957565
Congress Heights; Bellevue; Washington Highlands,-77.0039388706952,38.851163376127374
Congress Heights; Bellevue; Washington Highlands,-77.00391133126641,38.85118723814809
Congress Heights; Bellevue; Washington Highlands,-76.99985494226505,38.848664394975565
Congress Heights; Bellevue; Washington Highlands,-76.99964527918968,38.848535845223495
Congress Heights; Bellevue; Washington Highlands,-76.9959949455402,38.8484690504852
Congress Heights; Bellevue; Washington Highlands,-76.99600351570035,38.848197149034284
Congress Heights; Bellevue; Washington Highlands,-76.9960104399866,38.84797536146928
Congress Heights; Bellevue; Washington Highlands,-76.99602486552119,38.847563677341384
Congress Heights; Bellevue; Washington Highlands,-76.99604124180318,38.847234059027805
Congress Heights; Bellevue; Washington Highlands,-76.99609263072001,38.84697723008248
Congress Heights; Bellevue; Washington Highlands,-76.99621095207603,38.84669959266639
Congress Heights; Bellevue; Washington Highlands,-76.99622409745331,38.846507265096
Congress Heights; Bellevue; Washington Highlands,-76.9956363910663,38.84615690627118
Congress Heights; Bellevue; Washington Highlands,-76.99470784344783,38.845587623206676
Congress Heights; Bellevue; Washington Highlands,-76.99401890037231,38.84519662346873
Douglas; Shipley Terrace,-76.97471813575507,38.8528706360112
Douglas; Shipley Terrace,-76.97421373385717,38.852461323218066
Douglas; Shipley Terrace,-76.97367399691554,38.85198280533994
Douglas; Shipley Terrace,-76.97271189699737,38.85109886590819
Douglas; Shipley Terrace,-76.97216568897981,38.85067153663186
Douglas; Shipley Terrace,-76.97168459807374,38.85036748302997
Douglas; Shipley Terrace,-76.97111435600526,38.85005157507494
Douglas; Shipley Terrace,-76.97056862423783,38.84978658619185
Douglas; Shipley Terrace,-76.97002850391746,38.84957301184959
Douglas; Shipley Terrace,-76.96948393324023,38.8493957006861
Douglas; Shipley Terrace,-76.96901154309504,38.84927640136296
Douglas; Shipley Terrace,-76.96820903011854,38.849122686291906
Douglas; Shipley Terrace,-76.96697517202225,38.84901191045057
Douglas; Shipley Terrace,-76.96623797594187,38.849025366516884
Douglas; Shipley Terrace,-76.96541066171346,38.84910728805891
Douglas; Shipley Terrace,-76.97089265203405,38.84483275741629
Douglas; Shipley Terrace,-76.97285225493103,38.84330458737814
Douglas; Shipley Terrace,-76.98502427526124,38.83391277513417
Douglas; Shipley Terrace,-76.98542549475141,38.83436059145839
Douglas; Shipley Terrace,-76.9857771614045,38.83475889660512
Douglas; Shipley Terrace,-76.9861000454347,38.835117292020286
Douglas; Shipley Terrace,-76.98662445271036,38.83571047134354
Douglas; Shipley Terrace,-76.98715439443104,38.836311575179224
Douglas; Shipley Terrace,-76.9874695777932,38.836672488235834
Douglas; Shipley Terrace,-76.98791431012971,38.83720565446409
Douglas; Shipley Terrace,-76.98811997032074,38.837511333614145
Douglas; Shipley Terrace,-76.9882849731025,38.83784385125861
Douglas; Shipley Terrace,-76.9885076423583,38.83983762553576
Douglas; Shipley Terrace,-76.98850754541213,38.84186245505664
Douglas; Shipley Terrace,-76.98850813078589,38.84324425990682
Douglas; Shipley Terrace,-76.98850917322143,38.844640301215044
Douglas; Shipley Terrace,-76.98824099900462,38.84468513657169
Douglas; Shipley Terrace,-76.98785112835152,38.844768344823585
Douglas; Shipley Terrace,-76.98742136772591,38.84487972139375
Douglas; Shipley Terrace,-76.98709016547693,38.84500436324634
Douglas; Shipley Terrace,-76.98620532115955,38.84524127535959
Douglas; Shipley Terrace,-76.98518499530903,38.84551491697045
Douglas; Shipley Terrace,-76.98442801150046,38.84572435374225
Douglas; Shipley Terrace,-76.98456288207446,38.8460856564133
Douglas; Shipley Terrace,-76.98420691770302,38.846479142642174
Douglas; Shipley Terrace,-76.98383243639,38.8468197895579
Douglas; Shipley Terrace,-76.98359032606093,38.847044719102236
Douglas; Shipley Terrace,-76.98390152460311,38.84720577143554
Douglas; Shipley Terrace,-76.98374014748265,38.847412259714396
Douglas; Shipley Terrace,-76.98338377629132,38.84778579860484
Douglas; Shipley Terrace,-76.9829427664828,38.84818421211897
Douglas; Shipley Terrace,-76.98279194001856,38.848316646713734
Douglas; Shipley Terrace,-76.98264768605914,38.84842135636165
Douglas; Shipley Terrace,-76.98342869889049,38.848921815455455
Douglas; Shipley Terrace,-76.9844648684617,38.84961316979891
Douglas; Shipley Terrace,-76.98505935719972,38.849005458163035
Douglas; Shipley Terrace,-76.98993572748881,38.85200917245692
Douglas; Shipley Terrace,-76.99291178416006,38.85390625063739
Douglas; Shipley Terrace,-76.99230732187631,38.85384092827847
Douglas; Shipley Terrace,-76.9919832006143,38.8536452545944
Douglas; Shipley Terrace,-76.99157768800907,38.85348226463738
Douglas; Shipley Terrace,-76.99112857285753,38.85333210585345
Douglas; Shipley Terrace,-76.99059363838359,38.8531795793731
Douglas; Shipley Terrace,-76.99003842950651,38.85304036204786
Douglas; Shipley Terrace,-76.98936173323744,38.85292469150506
Douglas; Shipley Terrace,-76.98871915741061,38.852826805238564
Douglas; Shipley Terrace,-76.98809572968942,38.852759798297484
Douglas; Shipley Terrace,-76.98722927137607,38.85272437904853
Douglas; Shipley Terrace,-76.98646311299132,38.852728613408445
Douglas; Shipley Terrace,-76.98580191875539,38.85275978513703
Douglas; Shipley Terrace,-76.98513088087124,38.85282640343171
Douglas; Shipley Terrace,-76.98446838595548,38.85293813436574
Douglas; Shipley Terrace,-76.98382822973079,38.85312872558405
Douglas; Shipley Terrace,-76.98327951376528,38.85330741051257
Douglas; Shipley Terrace,-76.98269113703098,38.85353752626011
Douglas; Shipley Terrace,-76.98175142346966,38.853868141275036
Douglas; Shipley Terrace,-76.98107564145906,38.85405129898658
Douglas; Shipley Terrace,-76.98052467442326,38.85415831188269
Douglas; Shipley Terrace,-76.97990445273732,38.854239650887195
Douglas; Shipley Terrace,-76.97923360711535,38.85425679252944
Douglas; Shipley Terrace,-76.97853932116773,38.85422427716675
Douglas; Shipley Terrace,-76.97781175488788,38.85413699923395
Douglas; Shipley Terrace,-76.97719817773736,38.853997592648234
Douglas; Shipley Terrace,-76.97642095407765,38.853782923861715
Douglas; Shipley Terrace,-76.97586600169576,38.85354067957196
Douglas; Shipley Terrace,-76.97555304211762,38.85338920748192
Douglas; Shipley Terrace,-76.9752628337545,38.853222564665884
Douglas; Shipley Terrace,-76.97499119709768,38.853058429447515
Douglas; Shipley Terrace,-76.97471813575507,38.8528706360112
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.9687730019474,38.86067206227963
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96861160898905,38.86052634606223
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96842724093771,38.86037052046199
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.9681489633922,38.860225886726276
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96816992272181,38.85975159558207
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.9682158404819,38.859322579651014
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96818550055777,38.85900080172778
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96817041162674,38.85865519277079
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96806388724167,38.85827380550312
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96791160240319,38.85797582807853
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96772887103388,38.85759442174539
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96734806687383,38.857069947714045
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96696728341365,38.85650972132501
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.9665407928163,38.8559256464991
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96568780679895,38.85481707938986
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96545933604476,38.854507158021654
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96521560054417,38.85425682016817
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96436250343356,38.85344617781493
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96328092522577,38.85242094300568
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96293055486747,38.85209906225111
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96270200803842,38.85197981574564
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96239722589009,38.85192012943189
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96213814207303,38.85190812979128
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.9618009256524,38.85192250213212
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96541066171346,38.84910728805891
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96623797594187,38.849025366516884
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96697517202225,38.84901191045057
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96820903011854,38.849122686291906
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96901154309504,38.84927640136296
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96948393324023,38.8493957006861
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97002850391746,38.84957301184959
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97056862423783,38.84978658619185
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97111435600526,38.85005157507494
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97168459807374,38.85036748302997
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97216568897981,38.85067153663186
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97271189699737,38.85109886590819
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97367399691554,38.85198280533994
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97421373385717,38.852461323218066
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.9742068392446,38.85301816677227
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97420413962443,38.85461482295792
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97598768981315,38.85583308007176
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97546857353322,38.85630736953509
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97645905860381,38.85696303453543
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97676559195493,38.85716928870123
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97695901035664,38.85724319613112
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97714019966337,38.857279981622746
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97720807614,38.85744172880969
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97745188251187,38.85764437340728
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97766519807065,38.857858926430005
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97783281064719,38.85801388528094
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97795466655838,38.858276091824074
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97804603237522,38.85855020952016
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97812216751585,38.85880049023979
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97822880314676,38.85899118924106
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97819823843348,38.85925336584252
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97803048788379,38.85953935073083
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97790846869546,38.85980151336819
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97772550817034,38.85996832361401
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97751207061374,38.86011129029071
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97728337137015,38.86031384206853
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97722233631755,38.860516425091696
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97720702589584,38.86073093627848
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97740511691173,38.86092165378645
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97664282419966,38.861433953462615
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97632077873305,38.86126253717461
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97588085075172,38.86096901808099
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97537795632967,38.860647143558886
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97460289294152,38.861357689084734
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97282077277542,38.86308833566877
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97236549814234,38.86289359179657
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.9719937378762,38.86273762042052
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97171257011834,38.86260858924589
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97148485726765,38.862505234317624
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97099516303958,38.86228296946179
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97050859728348,38.86206055469441
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97026071852615,38.861943485962215
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.97009119041968,38.86184695910374
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96993546457259,38.861740497012036
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96978677051948,38.861616952060416
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96953977900594,38.86138464629694
Woodland/Fort Stanton; Garfield Heights; Knox Hill,-76.96930458032989,38.86116577465845
